------------------------------------------------------------------------------------
导出信息：
姓名：谢迪
支付宝账户：18137268181
起始时间：[2025-11-01 00:00:00]    终止时间：[2025-11-30 23:59:59]
导出交易类型：[全部]
导出时间：[2025-12-01 22:35:25]
共30笔记录
收入：0笔 0.00元
支出：29笔 416.69元
不计收支：1笔 988.69元

特别提示：
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
4.本回单如经任何涂改、编造，均立即失去效力；
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；
7.禁止将本回单用于非法用途；
8.本明细仅展示当前账单中的交易，不包括已删除的记录；
9.本明细仅供个人对账使用。

------------------------支付宝支付科技有限公司  电子客户回单------------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注,
2025-11-29 20:26:34,餐饮美食,南国**店,xia***@126.com,南国冷榨椰子油食用油纯海南特产护肤护发炒菜生酮烘焙漱口身体油 等多件,支出,71.95,花呗,支付成功,20251129300000008251781216453171	,T200P4891087404510152728	,,
2025-11-29 17:08:44,交通出行,深圳通,huq***@shenzhentong.com,地铁-洪浪北-2025-11-29 16:33:01-香梅-2025-11-29 17:08:41,支出,5.00,花呗,交易成功,2025112922001451781457909087	,202511292912675942	,,
2025-11-29 10:09:33,交通出行,深圳通,huq***@shenzhentong.com,地铁-香梅-2025-11-29 09:29:11-洪浪北-2025-11-29 10:09:30,支出,5.00,花呗,交易成功,2025112922001451781454160282	,202511292865291020	,,
2025-11-26 17:48:50,交通出行,深圳通,huq***@shenzhentong.com,地铁-竹子林-2025-11-26 17:28:03-香梅-2025-11-26 17:48:48,支出,2.00,花呗,交易成功,2025112622001451781442179870	,202511262550519290	,,
2025-11-26 16:46:28,交通出行,深圳通,huq***@shenzhentong.com,地铁-洪浪北-2025-11-26 16:08:40-农林-2025-11-26 16:46:26,支出,5.00,花呗,交易成功,2025112622001451781442393955	,202511262542125288	,,
2025-11-26 16:10:25,交通出行,哈啰出行,zij***@hellobike.com,哈啰单车骑行,支出,6.80,花呗,交易成功,2025112622001451781435729137	,CPR251126161025444104550082N	,,
2025-11-26 09:39:44,交通出行,深圳通,huq***@shenzhentong.com,地铁-香梅-2025-11-26 09:00:16-洪浪北-2025-11-26 09:39:41,支出,5.00,花呗,交易成功,2025112622001451781437290704	,202511262512246297	,,
2025-11-25 19:00:57,餐饮美食,钱大妈,qin***@qdama.cn,金针菇等5件商品,支出,25.75,花呗,交易成功,2025112522001451781434165987	,963876465575759872	,,
2025-11-24 12:00:47,餐饮美食,晗**,180******87,段小段推荐 东北白糯玉米 软糯香甜 真空锁鲜 黏玉米8棒非转基因,支出,35.00,花呗,支付成功,20251124300000004951781203277587	,T200P4880566044625152728	,,
2025-11-23 17:22:29,交通出行,深圳通,huq***@shenzhentong.com,地铁-洪浪北-2025-11-23 16:43:08-香梅-2025-11-23 17:22:26,支出,5.00,花呗,交易成功,2025112322001451781417911715	,202511232199777137	,,
